,text_pl,text_en
1,rolników uprawiających w dobrych ekologicznych warunkach marchew zachęcać ludzi do kupowania marchwi  uprawa marchwi zobrazowania jakich witamin i korzyści może dostarczac to warzywo  rolników pielegnujacych marchew  dzieci które zamiast slodyczy wybieraja zdrowy tryb życia  uświadamiać ludzi o korzyściach jakie niesie za sobą kupno marchewek np źródło witamin,farmers in good ecological conditions carrots to encourage people to buy carrots carrot cultivation which illustrate the benefits of vitamins and can provide a nourishing vegetable farmers who carrots children sweets instead they opt healthy lifestyle educate people about the benefits that entails buying source of vitamins such as carrots
2,dzieci zdrowe nawyki  żeby marchewki mówily zjedz mnie  a dzieci by je zjadły  gadające marchewki  zdrowe tryb życia,children healthy habits to eat carrots spoke to me and the kids ate them talking carrot healthy lifestyle
3,zbieranie marchwi pokazanie że marchew jest zbierana w polsce że uprawa jest ekologiczna  zbieranie jej jakieś ciekawe informacje na temat zbioru na pewno proces zbierania marchewki i kilka słów od właściciela uprawy powinna zachęcać do zdrowego sposobu odżywiania itp,"picking carrots show that carrots are harvested in Poland is that the cultivation of organic picking her some interesting information on the set definitely the process of collecting carrots and a few words from the owner should encourage the cultivation of a healthy diet, etc."
4,coś estetycznego artystycznego i nieszablonowego zapewne przeciągnięcie zainteresowania tematem nie wiem tak jak w  reklama powinna być zaskakująca nieszablonowa w moim guście byłoby coś minimalistycznego związanego ze sztuką nowoczesną  dobrą reżyserię muzykę fajne ujęcia przekazywać co może potencjalnemu odbiorcy dać jedzenie marchwi lub robienie z nią czegokolwiek innego,something aesthetic and artistic interests outside the box probably dragging the topic so I do not know how the ad should be surprising unconventional my taste would be something of a minimalist modern art associated with good directing cool music scene that can convey to a potential audience give eating carrots or doing anything else with it
5,marchew zachęcający do spożycia marchwi ale nie zmuszający nie było zbyt dużo treści przekazywanych w krótkim czasie propozycje sposobów spożywania marchwi zachęcające do zakupu i spożycia marchwi,carrot to encourage the consumption of carrots but it was not forcing too much content transmitted in a short time proposing ways of eating carrots to encourage the purchase and consumption of carrots
6,kolorystykę która nie boli w oczy i czytelny komunikat dobrą typografię  zwrócenie uwagi na jej zalety podkreślając cenę i wartości odżywcze wpleść to w narrację o zbilansowanej diecie etc  nie do końca wiem co chciałabym by się działo wiem za to czego bym nie chciała myślę tu o przerobionych piosenkach krzykliwości i uderzaniu w infantylny humor  rzetelny komunikat który zachęca do kupienia nie zaś taki bazujący na melodii która wbija się w mózg konsumenta lub piszczących animowanych postaci  zdrowe odżywianie korzyści dla organizmu zalety ekonomiczne zakupu,color scheme that does not hurt the eyes and clear message the good typography to draw attention to the advantages of emphasizing price and nutritional value to weave it into the narrative of a balanced diet etc not really know what I wish would happen I do know I would not want to think here of the converted songs krzykliwości and colliding with infantile humor honest message that encourages the purchase and not based on a melody that sticks in the mind of the consumer or squeaking animated characters healthy nutrition benefits for the body economic advantages of purchase
7,ładne widoczki marchewki na łonie natury bogate w witaminy i zdrowe właściwości bogata akcja konkretną treść odnośnie marchewki zdrowe odżywianie i właściwości marchewek,widoczki nice carrot nature rich in vitamins and healthy properties of the rich content of the concrete action regarding healthy eating carrots and properties of carrots
8,świerze marchweki pola uprawę promowanie zdrowego odżywiania pokazywanie zdrowego trybu życia w zgodzie z naturą ludzi prowadzących zdrowy tryb życia dbanie o zdrowie,A freshly cultivated field marchweki promote healthy eating showing healthy lifestyle in harmony with nature people leading a healthy lifestyle for health care
9,naturę zdrowych ludzi potrawy przygotowywane z marchwi jedzenie marchwi związane jest ze zdrowym trybem życia marchew ma dużo witamin chciałbym żeby ludzie jedli marchew przygotowywali z niej różne potrawy naturę zdrowych ludzi potrawy przygotowywane z marchwi jedzenie marchwi jest elementem zdrowego trybu życia jedzenie warzyw marchwi jest ekologiczne,"the nature of healthy people dishes prepared with carrot eating carrots is associated with a healthy lifestyle has a lot of vitamins carrots, I would like people to eat carrots prepared with the nature of the various dishes healthy people dishes prepared with carrot eating carrots is part of a healthy lifestyle is eating organic vegetables carrots"
10,świeże warzywa ekologiczne kupowanie ekologicznych warzyw z lokalnych gospodarstw wypowiadał się rolnik znający się na marchewkach uprawe marchwii ekologiczna produkcje wspieranie lokalnych producentowtów,fresh organic vegetables to buy organic vegetables from local farms farmer spoke knowledgeable carrot carrots cultivation ecological support local productions producentowtów
11,marchew przede wszystkim czy jest hodowana bez chemii  krótka prosta reklama bez zbędnego chaosu marchew zdrowe odżywianie,"carrots, above all if it is grown without chemical short straight advertising without unnecessary chaos healthy eating carrots"
12,ukazanie naturalnych upraw  że warto jeść i jakie konsekwencje dla organizmu daje spożywanie tego warzywa jej spożywanie i uprawa jej spożywanie i uprawa pozytywny wpływ na zdrowie człowieka,show that natural crops worth eating and what the consequences for the organism gives its consumption of this vegetable consumption and its growing consumption and growing positive impact on human health
13,marchew wysokiej jakości pozytywny wpływ na zdrowie w zbilansowanej diecie by wraz z promocją były pokazane zmiany w organizmie podczas dłuższego spożywania na przełomie kilka dni miesięcy lat pozytywne skutki jedzenia w jakimś okresie czasu marchwi prozdrowotne i mające na celu walkę z otyłością,"Carrots high quality positive impact on the health of a balanced diet along with the promotion to be shown changes in the body during prolonged consumption at the end of a few days, months, years, the positive effects of eating in a period of time and the health benefits of carrots to combat obesity"
14,dużo marchwii marchew jest zdrowa i tania impreza marchewek ludzi jedzących marchewki marchewka jest zdrowa,a lot of carrots carrots is healthy and inexpensive party people eating carrots carrots carrots is healthy
15,marchew na polu byle krótko bez znaczenia byle krótki niewiele żeby nie trzeba było patrzeć z zaciekawieniem marchew odmiana gatunkowa na jabłkach i ziemniakach można spotkać opisy odmian i to jest super do placków ziemniaczanych najlepsze są denary,carrots on the field as long as irrelevant any short little short so there was no need to look curiously Carrots variety of species on apples and potatoes you can be found descriptions of the varieties and it is great for potato pancakes are the best denars
16,promowanie zdrowej żywności produktów ekologicznych warzywa są nie tylko zdrowe ale i smaczne może prosty przepis z marchewką  konkrety jakieś ciekawostki fakty o marchewkach  promowanie zdrowego odzywiania,promotion of healthy food products of organic vegetables are not only healthy but delicious and simple recipe can with carrots specifics some interesting facts about carrots promote healthy nutrition
17,dużo ujęć marchwi dań przygotowanych z marchwi  ze marchew jest zdrowa a także zdrowa wiec łączymy przyjemne z pożytecznym  chciałabym zeby w tle leciała jakaś chwytliwa wesoła muzyka ludzie jedli marchew i cieszyli się może gotowali coś  dużo ujęć marchwi sposobów na jej przygotowanie  to ile witamin i innych korzystnych dla naszego zdrowia składników ona zawiera jak dobrze może wpłynąć na nasze zdrowie,"a lot of shots carrot dishes prepared from carrots with carrots is healthy and healthy so we combine business with pleasure I would like teeth in the background flew some catchy cheerful music people ate carrots and rejoiced can cook something a lot of shots of carrots for ways to prepare how many vitamins and other beneficial for our health ingredients it contains, as well can affect our health"
18,pola uprawne marchew jest zdrowa i hodowana w sposób ekologiczny rolnik uprawia pole  rolnika pole naturę jedzenie ekologicznej marchwi jest zdrowe,farmland is healthy and carrots grown organically grown farmer's field farmer field food nature healthy organic carrots
19,proces przetworzenia produktu czyli co się dzieje z marchewka zanim zrobi się z niej np sok to co się z nich przetwarza i w jakim celu filmik na którym są osoby i mówią co np robią „tutaj obieramy marchew która później wyciskamy na sok  marchewki ludzi nature jaki jest cel wykorzystani marchewki oraz zalety jedzenia wartości tego produktu,"process processing product which is what happens with the carrot before it gets out of it, for example juice is what happened to them processed and for what purpose the video where there are people and say what example do ""here Peel carrots which then squeeze the juice of carrots human nature what is the purpose carrots and abused the advantages of this food product"
20,różne wykorzystania marchwi np pokazane wyciskanie soku dodawanie do potraw marchew jest zdrowa powinna być jedzona zwykłych ludzi podczas codziennego życia nie wiem,use various carrots example shown juicing carrots added to food is healthy it should be eaten ordinary people in everyday life do not know
21,naturę ogród ładne i estetyczne widoki że ta marchew pochodzi z jakiegoś naturalnego miejsca jest zdrowa i wyprodukowana bez użycia chemii widać osoby uprawiającą ją w domowym ogródku naturalne widoki szczęście rodzinę pracującą razem zgodę z naturą,"nature garden nice and aesthetic views that the carrot comes from a natural place is healthy and produced without the use of chemicals see people practicing it in the home garden views Fortunately, natural family working together with the nature of consent"
22,jak ją wyciąga się z ziemi wygląda idealnie a do tego brodatych rolników miałaby zachęcić do zjedzenia ich wyrywał je przystojny rolnik z brodą w gumiakach i polarze a potem zbliżać na nią jak ona cudownie wygląda ziemię pole rolników z brodą marchewki o idelanyc proporcjach korzyści płynące z jej jedzenia i kto ją hoduje,as it pulls out of the ground it looks perfect and for that bearded farmers would be encouraged to eat their tore them handsome farmer with a beard in rubber boots and a fleece and then approached her as she miraculously looks down field for farmers with a beard carrot of idelanyc proportion of the benefits of its food and who it is cultured
23,nie przerobione komputerowo warzywa ubrudzone ziemią naturalne  że są zdrowe zawierają karotenoidy itp ktoś wyjmuje marchewki prosto z ziemi prawdziwe rozmiary nie wybrane tylko te duże  wartościowość marchewki,not tampered with computer soiled natural vegetables that are healthy contain carotenoids like someone takes out a carrot straight from the land of the true extent of not only the selected valence large carrots
24,na reklamie marchwi chciałabym widzieć gospodarstwa małych rolników na których owa marchew rośnie sposób jej hodowli w której np wykluczone zostają produkty szkodliwe dla innych organizmów żyjących na uprawie chciałabym ewentualnie zobaczyć reklamę w której marchew była by przestawiona w sposób w jaki są przedstawiane leki czyli taka reklama zawierała by informacje o tym dlaczego taka marchew jest niezwykle ważna w naszej diecie i jakim chorobom może zapobiegać  taka reklama mogła by przekazywać nam informacje o właściwościach zdorowtnych marchwi oraz o tym że produkcja takiej marchwi jest w pełni bezpieczna i nie szkodzi środowisku mógłby wypowiadać się dietetyk który przy pomocy ilustracji mógłby zobrazować właściwości marchwii mogły by być pokazane dzieci którym rodzicom dają marchew  chciałabym zobaczyć jak osoby reklamujące marcher jedzą ją ewentualnie ujęcia z miejsca uprawy  taka reklama promowała by wsparcie małych gospodarstw polskich produktów prowadzenie zbilansowanej diety oraz ogromne znaczenie warzyw w diecie,"on advertising carrots, I would like to see holding small farmers which this carrot growing the way it is culture in which such excluded are products harmful to other organisms living on the cultivation I would like to possibly see an ad in which the carrot was that switched the way they are presented medications which such advertising to include that information about why the carrot is very important in our diet and what diseases can prevent such advertising could to give us information about the properties zdorowtnych carrot and the fact that the production of such a carrot is completely safe and does not harm the environment could speak to a nutritionist who at illustration might help illustrate the properties of carrots could be shown to children which give carrots their parents as people would like to see advertising marcher eat it possibly growing recognition of the place such advertising promoted to support small farms Polish products keeping a balanced diet and the great importance of vegetables in the diet"
25,soki jedz zdrowo żeby chodziły zwierzęta ukazanie zbiorów marchwi produkcji  zwierzęta przedstawicieli danej produkcji  aby w szczególności najmłodsi odżywiali się prawidłowo żeby ukazać dobro natury oraz wartości odżywcze jakie dostarcza do organizmu,"juices went to eat healthy animals show the harvest of carrot production animals to the representatives of the production, in particular, the youngest proper diet to reveal the nature of goodness and nutritional value it provides to the body"
26,nie wiem że marchew jest zdrowa dobra fabuła np historia rodziny i powiązanie jej z marchwią przystojnych aktorów  zdrowie które wynika z jedzenia marchewki,I do not know that carrots are healthy good story such as family history and linking it with carrots handsome actors of health that results from eating a carrot
27,marchewki które są naturalne 😆 czyli takie jak rosną na polu a nie czyściutkie wysmarowane oliwką czy innym nabłyszczaczem  tu chyba nie ma za dużego pola do popisu prosty przekaz  marchew to super sprawa pyszna i zdrowa bez zbędnych głupot  zwykli ludzie w zwykłych sytuacjach w większości reklam widzimy słabych aktorów i ich udawane miny to nie jest fajne czy te pytania nie są za bardzo do siebie podobne  to co w pyt,carrots that are natural 😆 means such as grow on the field and not the Housing clean smeared with olive or other rinse aid here unless there is not a large field of possibilities simple message carrot is a great thing delicious and healthy without unnecessary bullshit ordinary people in ordinary situations in most ads we see weak actors and their fake faces is not cool if these questions are not very similar to what is in question
28,świeże kolorowe zdrowe warzywa że marchew jest zdrowa jakaś krótka informacja dlaczego warto ją spożywać pole marchewki pokazywanie jak rośnie rolnik ją wykopujący prawdziwych polskich rolników i prawdziwą marchew nie idealną i równiutką ale krzywą zdrową marchew marchew jest zdrowa warzywa są zdrowe należy je spożywać  podkreślenie lokalności naturalnego jedzenia nie idealnie równa każda marchewka prawdziwe marchewki są krzywe,Fresh colorful healthy vegetables that carrots are healthy a short information why it consume field carrots showing how to grow farmer it wykopujący real Polish farmers and real carrots not ideal and równiutką but the curve of healthy carrot carrot is healthy vegetables are healthy you should eat them emphasize the locality natural food not perfectly equal to each carrot carrots are real curves
29,ogródek z różnymi warzywami żywe kolory żeby kupować regionalne warzywa żeby jeść więcej warzyw  ogrodnik podlewa warzywa królik chrupie marchewkę ogródek w którym jest wiele świeżych warzyw motyle i ptaki latają króliki biegają ogrodnik podlewa warzywamarchewkę  że warzywa są zdrowie i powinno się ich dużo jeść,garden vegetables with different vibrant colors to buy local vegetables to eat more vegetables gardener watering vegetables rabbit munching a carrot garden where there is a lot of fresh vegetables butterflies and birds fly rabbits run warzywamarchewkę gardener watering the vegetables are health and should eat a lot of them
30,to czy są uprawiane zdrowo bez pestycydów że warto odżywiać się zdrowo pełno wesołych ludzi jedzących marchew ludzi jej wartości odżywcze,whether they are healthy grown without pesticides that should eat healthily full of happy people eating carrots people its nutritional value
31,wiejskie krajobrazy kolorowe świeże warzywa miejsca upraw zachęcenie do zdrowego stylu życia promocję konsumpcji warzyw przedstawienie ciekawych faktów na temat marchwi pokazanie pracy przy uprawach ludzi pracujących przy uprawach marchwii promocja zdrowego stylu życia,countryside colorful fresh vegetables crop place to encourage healthy lifestyles promote the consumption of vegetables to provide interesting facts about the carrot crops show the work of people working on the promotion of crops carrot healthy lifestyle
32,dobre potrawy z marchwi edukacja zdrowotna coś przyciągającego uwagę pomysł na posiłek zdrowe odżywianie,good food with carrots health education something eye-catching idea to eat a healthy diet
33,ladne zdrowe warzywa ubrudzone ziemia wyglądające jak świeżo wyciągnięte  z ziemi promocja spożywania warzyw  ludzie uprawiajacy warzywa wyciągający z ziemi ladne zdrowe warzywa ubrudzone ziemia wyglądające jak świeżo wyciągnięte  z ziemi zdrowe odzywiania,nice healthy vegetables stained earth looking like a freshly pulled from the ground to promote the consumption of vegetable cultivating vegetables people lining up to land nice healthy vegetables stained earth looking like a freshly pulled from the ground healthy nutrition
34,króliki zajączki naturę  że jest zdrowa pożywna ma wiele wartości odżywczych jest tania i dobrze dostępna polska kosztowanie marchwi pokazanie jej maturalnej i ekologicznej uprawy procesy dbania o nią  od ziarna po trafienie na mój talerz zajączki ludzi wiele kolorów ładna pogodę dbanie o zdrowie o ekologię co kupujemy żeby kupować produkty pochodzenia lokalnegopolskiego,"rabbits, bunnies nature that is healthy nutritious has a lot of nutritional value is cheap and well accessible Poland tasting carrot present its final award and organic cultivation processes of taking care of it from the grain after the hit on my plate bunnies people many colors nice weather care for the health of the ecology of what we buy to buy products of lokalnegopolskiego"
35,marchew wieś pole miałaby zachęcać do jedzenia warzyw  pokazanie jak rolnik zbiera marchew z zamiłowaniem  dużo pomarańczowego koloru natury  zdrowy tryb życia,carrots countryside field would be encouraged to eat vegetables to show how the farmer collects carrots with a lot of passion orange color nature healthy lifestyle
