,text
5,rolników uprawiających w dobrych ekologicznych warunkach marchew zachęcać ludzi do kupowania marchwi  uprawa marchwi zobrazowania jakich witamin i korzyści może dostarczac to warzywo  rolników pielegnujacych marchew  dzieci które zamiast slodyczy wybieraja zdrowy tryb życia  uświadamiać ludzi o korzyściach jakie niesie za sobą kupno marchewek np źródło witamin
6,dzieci zdrowe nawyki  żeby marchewki mówily zjedz mnie  a dzieci by je zjadły  gadające marchewki  zdrowe tryb życia 
7,zbieranie marchwi pokazanie że marchew jest zbierana w polsce że uprawa jest ekologiczna  zbieranie jej jakieś ciekawe informacje na temat zbioru na pewno proces zbierania marchewki i kilka słów od właściciela uprawy powinna zachęcać do zdrowego sposobu odżywiania itp
10,coś estetycznego artystycznego i nieszablonowego zapewne przeciągnięcie zainteresowania tematem nie wiem tak jak w  reklama powinna być zaskakująca nieszablonowa w moim guście byłoby coś minimalistycznego związanego ze sztuką nowoczesną  dobrą reżyserię muzykę fajne ujęcia przekazywać co może potencjalnemu odbiorcy dać jedzenie marchwi lub robienie z nią czegokolwiek innego
11,marchew zachęcający do spożycia marchwi ale nie zmuszający nie było zbyt dużo treści przekazywanych w krótkim czasie propozycje sposobów spożywania marchwi zachęcające do zakupu i spożycia marchwi
13,kolorystykę która nie boli w oczy i czytelny komunikat dobrą typografię  zwrócenie uwagi na jej zalety podkreślając cenę i wartości odżywcze wpleść to w narrację o zbilansowanej diecie etc  nie do końca wiem co chciałabym by się działo wiem za to czego bym nie chciała myślę tu o przerobionych piosenkach krzykliwości i uderzaniu w infantylny humor  rzetelny komunikat który zachęca do kupienia nie zaś taki bazujący na melodii która wbija się w mózg konsumenta lub piszczących animowanych postaci  zdrowe odżywianie korzyści dla organizmu zalety ekonomiczne zakupu 
18,ładne widoczki marchewki na łonie natury bogate w witaminy i zdrowe właściwości bogata akcja konkretną treść odnośnie marchewki zdrowe odżywianie i właściwości marchewek
24,świerze marchweki pola uprawę promowanie zdrowego odżywiania pokazywanie zdrowego trybu życia w zgodzie z naturą ludzi prowadzących zdrowy tryb życia dbanie o zdrowie
25,naturę zdrowych ludzi potrawy przygotowywane z marchwi jedzenie marchwi związane jest ze zdrowym trybem życia marchew ma dużo witamin chciałbym żeby ludzie jedli marchew przygotowywali z niej różne potrawy naturę zdrowych ludzi potrawy przygotowywane z marchwi jedzenie marchwi jest elementem zdrowego trybu życia jedzenie warzyw marchwi jest ekologiczne
27,świeże warzywa ekologiczne kupowanie ekologicznych warzyw z lokalnych gospodarstw wypowiadał się rolnik znający się na marchewkach uprawe marchwii ekologiczna produkcje wspieranie lokalnych producentowtów
28,marchew przede wszystkim czy jest hodowana bez chemii  krótka prosta reklama bez zbędnego chaosu marchew zdrowe odżywianie 
29,ukazanie naturalnych upraw  że warto jeść i jakie konsekwencje dla organizmu daje spożywanie tego warzywa jej spożywanie i uprawa jej spożywanie i uprawa pozytywny wpływ na zdrowie człowieka 
30,marchew wysokiej jakości pozytywny wpływ na zdrowie w zbilansowanej diecie by wraz z promocją były pokazane zmiany w organizmie podczas dłuższego spożywania na przełomie kilka dni miesięcy lat pozytywne skutki jedzenia w jakimś okresie czasu marchwi prozdrowotne i mające na celu walkę z otyłością
32,dużo marchwii marchew jest zdrowa i tania impreza marchewek ludzi jedzących marchewki marchewka jest zdrowa
33,marchew na polu byle krótko bez znaczenia byle krótki niewiele żeby nie trzeba było patrzeć z zaciekawieniem marchew odmiana gatunkowa na jabłkach i ziemniakach można spotkać opisy odmian i to jest super do placków ziemniaczanych najlepsze są denary
35,promowanie zdrowej żywności produktów ekologicznych warzywa są nie tylko zdrowe ale i smaczne może prosty przepis z marchewką  konkrety jakieś ciekawostki fakty o marchewkach  promowanie zdrowego odzywiania
38,dużo ujęć marchwi dań przygotowanych z marchwi  ze marchew jest zdrowa a także zdrowa wiec łączymy przyjemne z pożytecznym  chciałabym zeby w tle leciała jakaś chwytliwa wesoła muzyka ludzie jedli marchew i cieszyli się może gotowali coś  dużo ujęć marchwi sposobów na jej przygotowanie  to ile witamin i innych korzystnych dla naszego zdrowia składników ona zawiera jak dobrze może wpłynąć na nasze zdrowie 
41,pola uprawne marchew jest zdrowa i hodowana w sposób ekologiczny rolnik uprawia pole  rolnika pole naturę jedzenie ekologicznej marchwi jest zdrowe
42,proces przetworzenia produktu czyli co się dzieje z marchewka zanim zrobi się z niej np sok to co się z nich przetwarza i w jakim celu filmik na którym są osoby i mówią co np robią „tutaj obieramy marchew która później wyciskamy na sok  marchewki ludzi nature jaki jest cel wykorzystani marchewki oraz zalety jedzenia wartości tego produktu
46,różne wykorzystania marchwi np pokazane wyciskanie soku dodawanie do potraw marchew jest zdrowa powinna być jedzona zwykłych ludzi podczas codziennego życia nie wiem
50,naturę ogród ładne i estetyczne widoki że ta marchew pochodzi z jakiegoś naturalnego miejsca jest zdrowa i wyprodukowana bez użycia chemii widać osoby uprawiającą ją w domowym ogródku naturalne widoki szczęście rodzinę pracującą razem zgodę z naturą
52,jak ją wyciąga się z ziemi wygląda idealnie a do tego brodatych rolników miałaby zachęcić do zjedzenia ich wyrywał je przystojny rolnik z brodą w gumiakach i polarze a potem zbliżać na nią jak ona cudownie wygląda ziemię pole rolników z brodą marchewki o idelanyc proporcjach korzyści płynące z jej jedzenia i kto ją hoduje
54,nie przerobione komputerowo warzywa ubrudzone ziemią naturalne  że są zdrowe zawierają karotenoidy itp ktoś wyjmuje marchewki prosto z ziemi prawdziwe rozmiary nie wybrane tylko te duże  wartościowość marchewki 
